asin,title,category,subcategory,price,rating,review_count,sales_est,competitors,weight_lbs,length_in,width_in,height_in,is_prime,is_fba,bsr_category,listed_since_days
B09QRXD9H1,"USAOPOLY The Original TAPPLE, The Fast-Paced Family Board Game,Choose a Category & Race Against The Timer to be The Last Player,Learning Word Game for Ages 8 & Up, 2-8 Players, 15-20 Minute Play Time",Toys & Games,Board Games,19.98,4.7,11100,3330,50,1.31,14.1,11.4,2.4,True,True,Board Games,657
B08BHHRSPK,"The Game of Life Board Game, Family Games for Kids Ages 8 and Up, Pegs Come in 6 Colors, Family Board Games for 2 to 4 Players",Toys & Games,Board Games,21.92,4.7,6800,2040,50,2.37,10.9,10.8,4.1,True,True,Board Games,513
B09D4QRJ8Y,Hasbro Gaming Battleship Classic Board Game | Strategy Games for Kids and Adults | Ages 7+ | 2 Players | Fun Kids Games | Family Games,Toys & Games,Board Games,14.44,4.7,7800,2340,50,0.93,13.3,9.7,4.9,True,True,Board Games,1068
B008J87PVC,"Hasbro Twister Party Classic Board Game for 2 or More Players,Indoor and Outdoor Game for Kids 6 and Up,Packaging May Vary",Toys & Games,Board Games,14.34,4.7,14200,4260,50,3.15,8.3,11.3,5.6,True,True,Board Games,604
B08MVWB4SC,"Hasbro Gaming Guess Who? Board Game, with People and Pets Cards, The Original Guessing Game for Kids, Ages 6 and Up, Easter Gifts for Boys and Girls (Amazon Exclusive)",Toys & Games,Board Games,16.56,4.6,6900,2070,48,0.51,5.9,4.9,1.3,True,True,Board Games,197
B00000IVAK,"SEQUENCE- Original SEQUENCE Game with Folding Board, Cards and Chips by Jax ( Packaging may Vary ) White, 10.3"" x 8.1"" x 2.31""",Toys & Games,Board Games,19.97,4.8,45400,13620,50,0.43,7.1,4.7,1.4,True,True,Board Games,803
B0DN37BBGD,Monopoly Board Game | Classic Game with Storage Tray and Larger Tokens | Ages 8+ | 2 to 6 Players | Family Games for Kids and Adults | Kids Gifts,Toys & Games,Board Games,19.97,4.8,1300,390,43,3.32,8.8,7.5,3.9,True,True,Board Games,394
B0DYK1ZH2D,"CATAN Board Game (6th Edition) Trade, Build & Settle in the Classic Strategy Game for Family, Kids & Adults, Ages 10+, 3-4 Players, 60-90 Min Playtime",Toys & Games,Board Games,39.99,4.8,39500,11850,50,1.41,11.0,9.2,4.3,True,True,Board Games,1080
B077Z1R28P,"Taco Cat Goat Cheese Pizza Wildly Entertaining Card Game for Family and Group Game Night | Easy to Learn and Play with 10-15 Minute Rounds | Fun for Kids, Teens, Adults, and Families | 2-8 Players",Toys & Games,Board Games,9.95,4.8,53400,16020,50,0.46,5.8,3.6,2.1,True,True,Board Games,373
B084D2XQ9F,"HUES and CUES - Vibrant Color Guessing Board Game for 3-10 Players Ages 8+, Connect Clues and Guess from 480 Color Squares",Toys & Games,Board Games,24.97,4.7,10100,3030,50,0.86,8.4,9.7,3.9,True,True,Board Games,426
B00000DMF5,"Hasbro Gaming Candy Land Kingdom of Sweet Adventures Board Game for Kids, Easter Gifts for Boys and Girls, Ages 3 & Up (Amazon Exclusive)",Toys & Games,Board Games,12.86,4.8,37300,11190,50,2.04,14.2,11.5,3.7,True,True,Board Games,823
B0B2JZHQ2P,"Tic Tac Toe Board Game,Tic Tac Toe Family Game, Classic Board Game, Classical Family Board Game,Children's Tic Tac Toe Game, Plastic tic tac Toe Game, Board Size 15 X 15 cm",Toys & Games,Board Games,5.97,4.3,1600,480,48,2.0,11.5,6.8,4.6,True,True,Board Games,461
B0BRYH5FJ8,"Spin Master Games, Hedbanz 2023 Edition with New Cards, Picture Guessing Board Game, for Family & Kids, 2-6 Players, for Ages 6 & Up",Toys & Games,Board Games,16.99,4.7,15500,4650,50,0.6,7.8,3.7,2.2,True,True,Board Games,727
B08BJCZ1MW,"Guess The Gibberish Card Game for Families by Relatable, From The Creators of Incohereant, Fun Kids Games for Kids 12+, Game Night With Friends, Includes 400 Cards, Instructions, and 1 Sand Timer",Toys & Games,Board Games,19.82,4.6,26300,7890,50,0.94,7.5,4.9,1.5,True,True,Board Games,1032
B0812BN1L1,"WHAT DO YOU MEME? Family Edition by Relatable, Now with Refreshed Content - Kids Games 8+, Family Games for Kids and Adults, The TikTok Viral Sensation, Includes 300 Caption Cards, 108 Photo Cards",Toys & Games,Board Games,19.97,4.6,37400,11220,50,0.8,5.2,3.4,1.1,True,True,Board Games,328
B0D4QRR7R1,"2026 New Assembly Completed-Titan 13 Action Figure,Dummy Robot 13 Action Figures Set,3D Printed Multi-Jointed Action Figures,Nova 13 Action Figure for Collectors Desktop Decorations (9pcs)",Toys & Games,Action Figures,32.99,4.4,889,266,42,1.03,13.6,8.4,5.9,True,True,Action Figures,571
B0CXTB8F5M,"Dumwick Titan13 Action Figure, Lucky Robot 13 Action Figure,3D Printed Multi-Jointed Movable Action Figures,Dummy Robot 13 Figure Creative Gifts for Kids Adults (5pcs)",Toys & Games,Action Figures,21.99,4.4,202,100,45,0.76,14.3,8.7,4.7,True,True,Action Figures,207
B0G3LC8ND8,T13 Figure Set & Titan 13 Toys（3d Printed Action Figures Assembly Completed）（Multi-Jointed Movable）（Octopus Man Designs Includes Various Accessories）Dummy T 13 Figures Desk Decoration (Silvery),Toys & Games,Action Figures,16.99,4.0,37,100,26,1.42,14.4,9.8,3.4,True,True,Action Figures,793
B07ZHS1L15,"Marvel Super Hero Adventures 5-Inch Action Figure 5-Pack, Includes Captain America, Spider-Man, 5 Accessories (Amazon Exclusive)",Toys & Games,Action Figures,20.16,4.8,3000,900,48,0.96,13.4,7.7,2.5,True,True,Action Figures,1173
B0BS4GVV4D,"Marvel Avengers Ultimate Protectors Pack, 6-Inch-Scale, 8 Action Figures with Accessories, Super Hero Toys, Toys for Boys and Girls Ages 4 and Up",Toys & Games,Action Figures,44.99,4.7,1000,300,30,0.79,12.5,11.0,5.1,True,True,Action Figures,209
B0D3BW4QQ6,"MerryXD 6 Pack Assembly Completed T13 3D Action Figure,Dummy Nova Titan Lucky 13 Action Figure 3D Printed Multi-Jointed Movable Toy",Toys & Games,Action Figures,24.99,4.3,2500,750,42,1.37,13.1,11.7,3.4,True,True,Action Figures,1145
B0DH3FR1Y5,"4.7"" Turtles Action Figures 6PCS Figure Bundle Toys Collection Birthday for Kids",Toys & Games,Action Figures,23.39,4.4,503,150,43,0.68,13.7,7.0,4.8,True,True,Action Figures,502
B0FDWQVJKT,"Marvel Spider-Man Titan Series Action Figure, 12-Inch (30 cm) Super Hero Toys for Kids Ages 4+",Toys & Games,Action Figures,10.99,4.8,542,162,30,0.51,12.1,6.7,2.4,True,True,Action Figures,909
B0D4QSWFVN,"2026 New Assembly Completed-Titan 13 Action Figure,Dummy Robot 13 Action Figures Set,3D Printed Multi-Jointed Action Figures,Nova 13 Action Figure for Collectors Desktop Decorations (5pcs)",Toys & Games,Action Figures,21.99,4.4,889,266,36,1.22,10.4,8.1,3.9,True,True,Action Figures,514
B08PHZJJ62,"Marvel Avengers Endgame Titan Hero Series 12"" Action Figures Captain America, Iron Spider, Black Panther, and Iron Man (4 Action Figures)",Toys & Games,Action Figures,38.0,4.6,1100,330,44,1.32,14.3,10.1,3.5,True,True,Action Figures,706
B0FK2GHVB8,"[6-PACK] Glowing Titan 13 Action Figure Set Already Assembled, Dummy 13 3D Printed Action Figures With Weapons Accessories T Lucky Robo 13 Nova 13 Action Figures, Figura de acción 13 (6-Colors)",Toys & Games,Action Figures,34.99,4.1,250,100,35,0.94,9.9,7.8,3.8,True,True,Action Figures,980
B0CVRP126M,"MerryXD T13 3D Action Figure,Assembly Completed Dummy Nova Titan Lucky 13 Action Figure 3D Printed Multi-Jointed Movable Toy Red",Toys & Games,Action Figures,6.99,4.3,2500,750,42,1.18,10.0,10.6,4.1,True,True,Action Figures,1068
B0GS879967,"6 Packs T13 Action Figure Set (Assembly Completed), 3D Printed Multi-Jointed Movable Dummy 13，Titan13 Action Figure, Action Figure Desktop Decorations for Game Lovers Toy, Christmas Birthday Gift",Toys & Games,Action Figures,23.99,3.5,16,100,33,1.1,14.2,6.9,4.0,True,True,Action Figures,580
B0DBGB27FJ,T13 3D Action Figures Set Titan 13 Action Figure Dummy 3D Printed Robo Multi-Jointed Movable Toy with Full Articulation for Collectors Desktop (Assembly Completed Pink White Figure + Dog),Toys & Games,Action Figures,14.99,4.3,679,203,33,0.79,8.8,9.9,3.7,True,True,Action Figures,959
B00ECV5436,Hasbro Marvel Avengers Series Marvel Assemble Titan Hero Iron Man 12' Action Figure,Toys & Games,Action Figures,9.18,4.6,6200,1860,42,1.2,14.7,6.1,3.1,True,True,Action Figures,274
B07PMYKXY8,"Mr.River US Army Men and SWAT Team Toy Soldiers Action Figures with Military Weapons Accessories for Kids Boys Girls,12Pcs",Toys & Games,Action Figures,18.99,4.6,6300,1890,40,0.71,9.3,8.8,3.8,True,True,Action Figures,1028
B0DSCJNB2V,"DC Comics, Batman Battle Clash 6” Ninja Strike Batman Action Figure with 2 Ninja Accessories, Super Hero Kids Toys for Boys and Girls Ages 3 & Up",Toys & Games,Action Figures,6.18,4.7,364,109,33,1.46,10.5,7.2,3.3,True,True,Action Figures,888
B0DQ6C22M2,"MrBeast Lab Hybrids Mega Pack, Reveal Different Hybrid Parts to Create 5 Mix & Match Action Figures, Including a Mega Torso Panther Experiment to Reveal Hybrid's Real Colors, Collect 30+ Beasts",Toys & Games,Action Figures,34.88,4.6,1500,450,47,1.07,12.0,11.0,4.4,True,True,Action Figures,712
B08TQB3CDZ,"Marvel Titan Hero Series Action Figure Multipack, 6 Action Figures, 12-Inch Toys, Inspired By Marvel Comics, For Kids Ages 4 And Up (Amazon Exclusive)",Toys & Games,Action Figures,53.74,4.7,2900,870,31,1.16,12.7,6.1,3.6,True,True,Action Figures,260
B09JHS8DB3,"Marvel Titan Hero Series Deluxe Venom Toy 12-Inch-Scale Collectible Action Figure, Kids Ages 4 and Up",Toys & Games,Action Figures,13.99,4.8,5000,1500,44,1.44,14.4,6.4,5.4,True,True,Action Figures,531
B0CP481DTZ,"Spidey and his Amazing Friends Hasbro Marvel, Friends & Foes Pack, 5 Action Figures, 4-Inch, Preschool Super Hero Toys for Kids Ages 3 and Up (Amazon Exclusive)",Toys & Games,Action Figures,21.99,4.9,2300,690,47,1.25,10.2,7.3,4.5,True,True,Action Figures,614
B0C6T3PFQP,"TwCare Set of 10 Dinosaur vs Kong Dinosaur Dragon Toys Movable Joint Action Figures, King of The Monsters Shin Ultima Gamera Mecha MechaGodzilla Ghidorah Skull Crawler Destoroyah Cake Toppers Pack",Toys & Games,Action Figures,23.99,4.6,416,124,42,0.84,11.8,8.7,2.1,True,True,Action Figures,237
B0CY229MPF,"MerryXD T13 3D Action Figure,Assembly Completed Dummy Nova Titan Lucky 13 Action Figure 3D Printed Multi-Jointed Movable Toy Grow in The Dark Blue",Toys & Games,Action Figures,6.99,4.3,2500,750,36,1.14,14.7,11.3,2.2,True,True,Action Figures,883
B0DCN49CGP,"5-Pack Titan 13 Action Figure Already Assembled, Multi-Colored Titan 13 Action Figure Set with Laser Saber 3D Printed Dummy 13 Lucky Robo Dummy Nova 13 Action Figures, Figura de acción 13",Toys & Games,Action Figures,28.99,4.3,445,133,40,1.41,8.3,9.3,5.9,True,True,Action Figures,830
B07T9CCRK6,Marvel Titan Hero Series Spider-Man 12-Inch Action Figure with Fx Port,Toys & Games,Action Figures,12.98,4.8,12900,3870,50,1.09,14.7,6.5,4.7,True,True,Action Figures,581
B0BSH8DVTB,"Army Men Action Figures,Soldiers Toys for Boys Age 4-7,Military Playset Action Figures Soldier Toy Set with Weapons Birthdaty Halloween Xmas Gift for Boys",Toys & Games,Action Figures,9.99,4.3,920,276,40,1.38,12.5,7.5,5.1,True,True,Action Figures,706
B0DTBZJLLZ,"DC Comics, Batman Ninja Strike 6"" 3-Pack Battle Set Action Figures with Pop-Out Ninja Accessories, Super Hero Kids Toys for Boys and Girls Ages 3 & Up",Toys & Games,Action Figures,9.19,4.7,142,100,38,1.14,13.5,9.3,2.3,True,True,Action Figures,433
